Class,Name,Blue,Green,Red,InfraRed,X,Y
1,corn,76,95,94,205,548399.8394,3860620.038
1,corn,79,99,99,201,548484.3787,3860582.392
1,corn,81,99,101,195,548499.3496,3860539.514
1,corn,81,98,94,171,548488.2869,3860606.032
1,corn,93,109,104,150,548357.841,3860684.684
1,corn,69,86,87,188,548517.7535,3860531.988
1,corn,85,101,101,199,548373.7248,3860631.723
1,corn,82,91,91,190,548384.7928,3860639.241
1,corn,79,97,97,199,548513.1743,3860584.499
1,corn,78,97,99,192,548384.3268,3860651.447
1,corn,81,98,96,193,548505.318,3860526.491
1,corn,124,131,122,182,548442.2243,3860632.907
1,corn,80,99,101,202,548503.7834,3860584.71
1,corn,95,117,113,192,548375.4745,3860674.175
1,corn,82,100,100,202,548463.4235,3860567.789
1,corn,83,101,101,197,548462.4702,3860582.605
1,corn,79,99,98,200,548428.9208,3860622.241
1,corn,80,99,99,203,548470.4231,3860588.993
1,corn,93,107,111,204,548495.9398,3860560.116
1,corn,81,102,99,201,548495.39,3860594.602
1,corn,88,105,104,202,548476.6063,3860552.798
1,corn,79,99,98,202,548473.2367,3860602.405
1,corn,83,99,99,199,548415.8505,3860604.885
1,corn,81,99,99,200,548444.2926,3860608.323
1,corn,80,76,76,158,548410.3998,3860604.285
1,corn,83,105,103,201,548446.2514,3860567.758
1,corn,82,102,101,200,548453.51,3860591.806
1,corn,44,75,64,162,548519.4176,3860559.386
1,corn,146,151,146,202,548378.0757,3860669.173
1,corn,112,104,118,166,548538.8434,3860567.908
1,corn,64,85,83,106,548488.7657,3860610.48
1,corn,80,100,98,200,548431.2089,3860604.549
1,corn,96,108,99,177,548434.6051,3860636.357
1,corn,81,101,104,183,548492.1732,3860541.761
1,corn,98,119,136,187,548420.1562,3860652.98
1,corn,82,99,95,186,548531.9518,3860574.827
1,corn,81,100,102,201,548503.441,3860572.333
1,corn,92,107,110,202,548499.9501,3860536.404
1,corn,81,97,98,202,548467.2993,3860551.619
1,corn,71,76,74,151,548378.1096,3860675.348
1,corn,77,96,97,197,548358.8616,3860651.867
1,corn,62,98,90,176,548518.1569,3860601.203
1,corn,80,98,99,200,548469.1233,3860567.187
1,corn,68,75,86,126,548471.381,3860624.16
1,corn,82,98,99,194,548414.7059,3860604.043
1,corn,79,102,101,201,548467.0202,3860557.855
1,corn,97,121,118,180,548485.9709,3860608.026
1,corn,81,100,99,196,548529.2452,3860549.286
1,corn,115,128,124,188,548493.1186,3860549.904
1,corn,79,98,101,199,548449.4915,3860561.395
1,corn,70,89,89,189,548522.6224,3860541.645
1,corn,76,103,103,195,548500.512,3860520.023
1,corn,70,90,89,183,548459.0432,3860587.79
1,corn,81,101,98,201,548452.4478,3860611.324
1,corn,78,94,93,183,548379.3161,3860641.964
1,corn,79,99,98,200,548409.2588,3860632.646
1,corn,84,103,99,195,548531.4197,3860536.609
1,corn,79,99,99,202,548405.6888,3860635.962
1,corn,69,88,92,177,546223.4064,3860320.177
1,corn,72,88,91,185,546239.5099,3860390.55
1,corn,135,127,114,134,546233.0096,3860421.636
1,corn,79,92,98,183,546234.7453,3860377.088
1,corn,88,116,109,192,546262.1054,3860413.196
1,corn,80,100,96,167,546264.9234,3860423.879
